OrderDate,Region,Category,ProductID,UnitsSold,UnitPrice,CustomerSatisfaction,Revenue
2025-07-01,East,Apparel,P115,37,263.51,3.0,9749.87
2025-07-01,West,Furniture,P106,42,455.61,3.0,19135.62
2025-07-01,South,Toys,P129,47,84.49,4.0,3971.03
2025-07-01,East,Electronics,P130,5,388.58,2.0,1942.9
2025-07-01,East,Groceries,P133,44,454.01,3.0,19976.44
2025-07-01,South,Furniture,P100,45,398.4,4.0,17928.0
2025-07-01,North,Electronics,P137,21,167.98,1.0,3527.58
2025-07-01,West,Toys,P133,43,365.28,3.0,15707.04
2025-07-01,South,Apparel,P145,42,192.4,4.0,8080.8
2025-07-01,West,Toys,P127,49,240.67,4.0,11792.83
2025-07-01,North,Furniture,P128,31,468.09,2.0,14510.79
2025-07-01,South,Electronics,P108,28,220.98,3.0,6187.44
2025-07-01,West,Electronics,P107,30,5.26,3.0,157.8
2025-07-01,East,Apparel,P129,34,108.15,3.0,3677.1
2025-08-01,East,Toys,P142,17,438.17,1.0,7448.89
2025-08-01,North,Furniture,P110,4,199.28,3.0,797.12
2025-08-01,West,Furniture,P121,46,473.92,5.0,21800.32
2025-08-01,West,Toys,P125,49,154.73,5.0,7581.77
2025-08-01,North,Toys,P115,26,341.81,3.0,8887.06
2025-08-01,East,Furniture,P134,18,489.21,2.0,8805.78
2025-08-01,South,Electronics,P119,38,249.37,1.0,9476.06
2025-08-01,East,Furniture,P107,45,198.08,5.0,8913.6
2025-08-01,North,Electronics,P139,14,67.27,5.0,941.78
2025-08-01,North,Apparel,P136,47,107.46,5.0,5050.62
2025-08-01,West,Electronics,P142,43,243.47,3.0,10469.21
2025-08-01,West,Apparel,P140,9,55.05,3.0,495.45
2025-08-01,North,Electronics,P122,41,7.71,3.0,316.11
2025-08-01,North,Electronics,P111,21,327.87,3.0,6885.27
2025-08-01,East,Apparel,P109,37,498.36,2.0,18439.32
2025-08-01,North,Groceries,P118,2,251.83,1.0,503.66
2025-08-01,North,Apparel,P141,44,199.49,4.0,8777.56
2025-08-01,North,Groceries,P136,25,233.3,,5832.5
2025-08-01,North,Apparel,P104,6,65.37,4.0,392.22
2025-08-01,South,Toys,P102,41,68.87,5.0,2823.67
2025-08-01,East,Toys,P139,28,71.67,1.0,2006.76
2025-08-01,South,Apparel,P122,32,417.1,1.0,13347.2
2025-08-01,South,Toys,P102,41,68.87,5.0,2823.67
2025-08-01,North,Apparel,P141,5,163.6,2.0,818.0
2025-08-01,East,Electronics,P143,32,34.61,1.0,1107.52
2025-08-01,South,Apparel,P105,16,38.42,5.0,614.72
2025-08-01,West,Apparel,P148,18,430.98,4.0,7757.64
2025-08-01,North,Furniture,P129,6,496.06,4.0,2976.36
2025-08-01,North,Electronics,P144,37,181.9,1.0,6730.3
2025-08-01,North,Apparel,P143,42,32.36,3.0,1359.12
2025-09-01,West,Toys,P111,30,306.98,5.0,9209.4
2025-09-01,East,Groceries,P124,36,427.72,2.0,15397.92
2025-09-01,South,Apparel,P116,14,283.52,4.0,3969.28
2025-09-01,West,Toys,P129,26,170.39,5.0,4430.14
2025-09-01,North,Apparel,P114,44,138.99,3.0,6115.56
2025-09-01,West,Furniture,P111,44,462.33,4.0,20342.52
2025-09-01,East,Apparel,P111,32,414.17,3.0,13253.44
2025-09-01,East,Electronics,P117,25,18.13,4.0,453.25
2025-09-01,East,Toys,P109,13,352.19,3.0,4578.47
2025-09-01,North,Electronics,P135,7,54.08,5.0,378.56
2025-09-01,North,Furniture,P103,13,356.71,5.0,4637.23
2025-09-01,South,Furniture,P148,48,431.01,2.0,20688.48
2025-09-01,North,Toys,P142,22,329.48,4.0,7248.56
2025-09-01,South,Toys,P109,10,85.88,5.0,858.8
2025-09-01,North,Toys,P124,38,254.57,1.0,9673.66
2025-09-01,West,Toys,P126,17,235.02,3.0,3995.34
2025-09-01,West,Apparel,P126,46,327.58,4.0,15068.68
2025-09-01,East,Groceries,P127,17,436.35,2.0,7417.95
2025-09-01,East,Electronics,P114,3,174.64,1.0,523.92
2025-09-01,North,Apparel,P112,33,239.03,1.0,7887.99
2025-09-01,West,Groceries,P140,27,468.26,1.0,12643.02
2025-09-01,East,Furniture,P140,29,227.12,3.0,6586.48
2025-09-01,East,Groceries,P107,30,162.98,2.0,4889.4
2025-09-01,North,Groceries,P144,37,418.18,4.0,15472.66
2025-09-01,North,Apparel,P108,42,273.33,4.0,11479.86
2025-09-01,South,Apparel,P123,20,377.4,5.0,7548.0
2025-09-01,South,Toys,P133,47,92.26,5.0,4336.22
2025-09-01,West,Toys,P106,19,378.36,5.0,7188.84
2025-09-01,South,Furniture,P121,37,60.36,4.0,2233.32
2025-09-01,East,Furniture,P132,9,218.6,2.0,1967.4
2025-09-01,West,Groceries,P147,8,408.95,4.0,3271.6
2025-09-01,East,Furniture,P124,38,90.12,,3424.56
2025-09-01,North,Apparel,P122,15,447.78,2.0,6716.7
2025-09-01,North,Toys,P109,11,100.33,,1103.63
2025-09-01,South,Electronics,P135,26,373.77,1.0,9718.02
2025-10-01,South,Furniture,P106,49,62.27,4.0,3051.23
2025-10-01,North,Furniture,P106,1,302.77,3.0,302.77
2025-10-01,West,Groceries,P100,14,8.72,3.0,122.08
2025-10-01,East,Furniture,P127,44,56.13,5.0,2469.72
2025-10-01,South,Furniture,P111,24,214.29,1.0,5142.96
2025-10-01,East,Electronics,P133,47,482.88,1.0,22695.36
2025-10-01,East,Furniture,P100,10,335.59,1.0,3355.9
2025-10-01,North,Electronics,P135,9,428.54,1.0,3856.86
2025-10-01,East,Electronics,P115,9,92.73,1.0,834.57
2025-10-01,South,Toys,P149,41,127.11,2.0,5211.51
2025-10-01,South,Groceries,P102,34,399.77,5.0,13592.18
2025-10-01,West,Groceries,P104,46,73.47,4.0,3379.62
2025-10-01,East,Toys,P127,29,186.34,5.0,5403.86
2025-10-01,South,Electronics,P115,46,431.1,,19830.6
2025-10-01,East,Groceries,P110,37,26.87,2.0,994.19
2025-10-01,West,Electronics,P137,31,207.04,5.0,6418.24
2025-10-01,North,Apparel,P124,28,331.7,4.0,9287.6
2025-10-01,South,Toys,P119,8,175.35,4.0,1402.8
2025-10-01,South,Apparel,P122,18,132.44,3.0,2383.92
2025-10-01,North,Toys,P133,40,422.44,1.0,16897.6
2025-10-01,North,Groceries,P126,6,237.63,1.0,1425.78
2025-10-01,South,Groceries,P105,43,388.3,5.0,16696.9
2025-10-01,West,Groceries,P141,3,335.41,4.0,1006.23
2025-10-01,South,Electronics,P137,11,154.37,3.0,1698.07
2025-10-01,North,Apparel,P134,43,488.45,5.0,21003.35
2025-10-01,West,Furniture,P101,27,283.52,1.0,7655.04
2025-10-01,West,Apparel,P101,37,231.84,3.0,8578.08
2025-10-01,West,Apparel,P101,37,231.84,3.0,8578.08
2025-10-01,West,Apparel,P133,4,341.37,1.0,1365.48
2025-10-01,North,Furniture,P112,34,282.81,1.0,9615.54
2025-10-01,South,Electronics,P138,47,242.9,1.0,11416.3
2025-10-01,East,Furniture,P140,10,233.6,2.0,2336.0
2025-10-01,East,Furniture,P109,29,388.44,3.0,11264.76
2025-10-01,West,Toys,P113,34,475.28,5.0,16159.52
2025-10-01,West,Toys,P146,20,307.19,4.0,6143.8
2025-10-01,North,Furniture,P120,38,438.18,2.0,16650.84
2025-10-01,North,Groceries,P139,5,230.94,1.0,1154.7
2025-10-01,West,Apparel,P119,26,426.81,5.0,11097.06
2025-10-01,East,Groceries,P148,40,248.17,3.0,9926.8
2025-10-01,South,Electronics,P127,28,344.65,2.0,9650.2
2025-10-01,North,Groceries,P148,26,444.74,1.0,11563.24
2025-10-01,West,Furniture,P109,48,212.23,5.0,10187.04
2025-10-01,North,Toys,P141,44,324.19,3.0,14264.36
2025-11-01,East,Toys,P113,41,24.85,2.0,1018.85
2025-11-01,North,Toys,P138,11,451.98,1.0,4971.78
2025-11-01,West,Toys,P124,27,214.63,3.0,5795.01
2025-11-01,West,Toys,P145,48,164.17,1.0,7880.16
2025-11-01,West,Toys,P118,6,24.93,1.0,149.58
2025-11-01,North,Electronics,P145,1,82.1,1.0,82.1
2025-11-01,West,Electronics,P124,28,487.34,5.0,13645.52
2025-11-01,South,Apparel,P128,16,113.5,2.0,1816.0
2025-11-01,North,Toys,P105,44,199.5,5.0,8778.0
2025-11-01,West,Electronics,P131,47,294.96,2.0,13863.12
2025-11-01,North,Furniture,P111,49,191.48,5.0,182505.92
2025-11-01,South,Apparel,P146,29,51.85,1.0,1503.65
2025-11-01,West,Toys,P144,8,295.05,2.0,2360.4
2025-11-01,West,Furniture,P101,23,277.7,4.0,6387.1
2025-11-01,South,Apparel,P147,33,390.18,2.0,12875.94
2025-11-01,East,Electronics,P123,22,394.39,4.0,8676.58
2025-11-01,East,Electronics,P100,46,76.23,1.0,3506.58
2025-11-01,North,Electronics,P116,37,202.84,2.0,7505.08
2025-11-01,West,Apparel,P119,15,37.71,4.0,565.65
2025-11-01,West,Apparel,P142,33,148.21,,4890.93
2025-11-01,North,Furniture,P144,19,491.16,4.0,9332.04
2025-11-01,South,Furniture,P103,13,132.42,3.0,1721.46
2025-11-01,North,Furniture,P110,42,335.82,1.0,14104.44
2025-11-01,South,Electronics,P136,9,174.47,5.0,1570.23
2025-11-01,South,Groceries,P107,27,234.52,5.0,6332.04
2025-11-01,West,Groceries,P134,21,212.55,2.0,4463.55
2025-12-01,North,Groceries,P124,18,168.7,3.0,3036.6
2025-12-01,East,Groceries,P111,8,301.85,2.0,2414.8
2025-12-01,North,Apparel,P140,22,179.9,4.0,3957.8
2025-12-01,South,Furniture,P149,26,368.69,4.0,9585.94
2025-12-01,North,Furniture,P110,31,476.7,1.0,14777.7
2025-12-01,East,Toys,P130,3,376.99,4.0,1130.97
2025-12-01,East,Electronics,P142,44,279.43,4.0,12294.92
2025-12-01,East,Apparel,P102,31,52.57,5.0,1629.67
2025-12-01,North,Groceries,P130,47,125.88,1.0,5916.36
2025-12-01,North,Apparel,P118,23,373.01,1.0,8579.23
2025-12-01,South,Toys,P135,9,466.73,2.0,4200.57
2025-12-01,South,Electronics,P136,19,97.87,3.0,1859.53
2025-12-01,West,Toys,P107,24,245.67,3.0,5896.08
2025-12-01,North,Electronics,P105,20,16.87,,337.4
2025-12-01,North,Furniture,P144,24,437.07,4.0,10489.68
2025-12-01,North,Apparel,P104,48,437.8,1.0,21014.4
2025-12-01,North,Furniture,P123,47,294.45,4.0,13839.15
2025-12-01,East,Toys,P114,41,290.55,,11912.55
2025-12-01,South,Electronics,P113,19,474.58,1.0,9017.02
2025-12-01,West,Electronics,P110,19,22.24,5.0,422.56
2025-12-01,West,Toys,P145,15,166.64,3.0,2499.6
2025-12-01,North,Toys,P147,45,188.14,5.0,8466.3
2025-12-01,South,Groceries,P146,8,215.36,4.0,1722.88
2025-12-01,West,Electronics,P144,11,211.25,5.0,2323.75
2025-12-01,West,Groceries,P139,11,190.36,3.0,2093.96
2025-12-01,South,Furniture,P131,31,22.77,1.0,705.87
2025-12-01,North,Apparel,P132,3,269.63,4.0,808.89
2025-12-01,West,Groceries,P123,1,268.05,5.0,268.05
2025-12-01,North,Toys,P113,28,314.61,4.0,8809.08
